Meanings,English Definition,POS,J Translation
visual,Something to look at with the eyes,adj,視覚の
vital,Being of extreme importance for the success of something,adj,極めて重要な
volume,"level of sound produced by an object, such as a radio or television",n,量；容積；体積
voluntary,Done or given by their own will and not forced to do,adj,自発的な；任意の；無償の
volunteer,To work willingly without pay,verb,ボランティア 
wealth,large amount of money and possessions,n,富
wealthy,Having a great quantity of money or property,adj,裕福な
weigh,"to determine the weight of, using scales",verb,重さを量る
welfare,program for poor or unemployed people help living,n,幸福；福祉
whisper,To talk with breath but no voice,verb,ささやく
withdraw,Pull back; move away or backward from something,verb,撤回する；引き出す
yield,To give way to someone or something else,verb,折れる；降伏する；譲る
youth,When you are young ; a young person,n,青年時代；若さ；若者
zone,area of space used for a particular reason,n,地帯
accord,agreement or harmony,n,一致する
grammar,rules explaining how words are used in a language,n,文法
nowadays,At the present time; now,adv,最近は
verb,word that expresses an action or state,n,動詞
noun,the subject or object of a sentence,n,名詞
trillion,"1,000,000,000,000",num,兆
attach,To be associated or connected with,verb,取り付ける；添付する
quadrillion,number that is represented as a one followed by 24 zeros,n,兆
a,One (of something),article,一つの
ad,public notice or advertisement,n,広告
band,group of people who work together e.g. play music,n,バンド； 楽団
honor,Respect given to someone who is admired,n,名誉
minister,an official who heads a government department,n,大臣
odd,Being unexpected and different; out of the ordinary,adj,奇妙な
or,"Used to link alternatives, to introduce another choice",conj,あるいは；すなわち；そうでなければ
bedroom,"room with a bed, for sleeping in",n,寝室
forever,For a very long or seemingly endless time,adv,永遠に
online,connected to the internet,adj,オンラインの
shareholder,Someone who holds shares of stock in a corporation,n,株主
weekend,Saturday and Sunday,n,週末
development,act or process of growing bigger or more advanced,n,発達；開発
due,when something is required or expected,adj,期日の、 満期の
education,process of giving or receiving teaching,n,教育
eleven,11,num,11
end,A point that marks the limit of something; finish,n,終わり
fellow,belonging to the same group,adj,仲間
first,Coming before all others in time or place,adj,一番最初の
for,"Used to show the purpose, or need of something",prep,～のために；～に向かって；～にとって；～に関して；～に賛成して；～の代わりに；～だから
friend,person who you like and enjoy being with,n,友だち
fun,amusing and enjoyable,adj,楽しい
giant,"Extremely big, or much bigger than other things",adj,巨大な
gray,Color between black and white (also spelled grey),adj,灰色の
great,Very good; fantastic; wonderful,adj,すばらしい
half,the part you get when one is divided into two; ½,n,半分
he,Object form of a male person you are talking about,pron,彼
in,Being inside something,adj,〜の中の
january,1st month of the year,n,1月
june,6th month of the year,n,6月
lean,To balance against or on something for support,verb,傾く；もたれる
may,"expresses permission, possibility or probability",aux,〜してもよい；～かもしれない；～であろう
